基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
000001,华夏成长混合,混合型,董阳阳,1.1789,1.181,3.642,-0.18%,2.07%,-1.17%,13.45%,15.77%,22.36%,577.26%
000003,中海可转债债券A,债券型,彭海平,0.7455,0.741,0.951,0.61%,-4.63%,-13.43%,0.95%,4.81%,-3.14%,-12.88%
000004,中海可转债债券C,债券型,彭海平,0.7454,0.74,0.95,0.73%,-4.76%,-13.45%,0.82%,4.67%,-3.77%,-13.00%
000005,嘉实增强信用定期债券,定开债券,刘宁,1.0461,1.046,1.388,0.01%,-0.66%,1.27%,4.46%,8.56%,22.31%,45.42%
000006,西部利得量化成长混合,混合型,盛丰衍,1.4108,1.4159,1.4159,-0.36%,4.49%,0.79%,26.32%,46.06%,--,41.59%
000008,嘉实中证500ETF联接A,联接基金,何如,1.4442,1.4446,1.5106,-0.03%,2.12%,-6.20%,8.68%,8.17%,-5.27%,51.89%
000011,华夏大盘精选混合,混合型,陈伟彦,13.9019,13.891,18.831,0.08%,4.39%,-0.71%,2.48%,9.47%,32.59%,2472.87%
000014,华夏聚利债券,债券型,何家琪,1.2996,1.299,1.299,0.05%,-3.13%,-6.01%,5.95%,10.74%,14.35%,29.90%
000015,华夏纯债债券A,债券型,柳万军,1.2562,1.256,1.369,0.01%,-0.32%,1.21%,3.06%,5.51%,17.72%,37.97%
000016,华夏纯债债券C,债券型,柳万军,1.2242,1.224,1.33,0.01%,-0.33%,1.07%,2.81%,5.07%,16.11%,33.85%
000017,财通可持续混合,混合型,夏钦,1.6685,1.678,2.772,-0.57%,4.29%,-4.35%,10.31%,37.03%,49.65%,219.39%
000020,景顺长城品质投资混合,混合型,詹成,2.8482,2.851,3.019,-0.10%,3.00%,-3.52%,21.63%,55.37%,71.25%,210.65%
000021,华夏优势增长混合,混合型,郑晓辉,1.9969,1.999,3.169,-0.11%,3.36%,-9.79%,11.18%,34.98%,24.16%,309.37%
000024,大摩双利增强债券A,债券型,张雪,1.2263,1.226,1.49,0.02%,-0.33%,0.08%,2.42%,4.97%,16.23%,53.08%
000025,大摩双利增强债券C,债券型,张雪,1.2033,1.203,1.467,0.02%,-0.33%,0.00%,2.21%,4.61%,14.83%,50.43%
000028,华富安鑫债券,债券型,张惠,1.0584,1.0574,1.4354,0.09%,-1.08%,-4.22%,1.20%,4.90%,9.09%,47.80%
000029,富国宏观策略灵活配置混合,混合型,袁宜,2.4343,2.436,2.631,-0.07%,2.78%,-4.25%,22.60%,43.80%,79.78%,183.15%
000030,长城核心优选混合,混合型,雷俊,1.1991,1.1977,2.2173,0.12%,-3.57%,-3.88%,4.81%,14.09%,19.17%,121.73%
000031,华夏复兴混合,混合型,周克平,2.4499,2.457,2.457,-0.29%,8.33%,-7.60%,28.10%,72.54%,40.24%,145.70%
000032,易方达信用债债券A,债券型,胡剑,1.1241,1.124,1.424,0.01%,-0.53%,1.43%,3.45%,5.89%,17.97%,44.04%
000033,易方达信用债债券C,债券型,胡剑,1.1192,1.119,1.388,0.02%,-0.62%,1.26%,3.19%,5.47%,16.90%,40.16%
000037,广发景宁债券,债券型,温秀娟,1.0068,1.0067,1.0067,0.01%,-0.07%,--,--,--,--,0.67%
000039,农银高增长混合,混合型,张燕,2.4723,2.481,2.481,-0.35%,6.08%,-5.11%,25.92%,51.10%,38.80%,148.10%
000041,华夏全球股票(QDII),QDII,李湘杰,1.1108,1.097,1.097,1.26%,7.23%,5.89%,7.02%,14.75%,15.96%,9.70%
000042,中证财通可持续发展100指数A,股票指数,吴迪,1.2769,1.2764,1.7652,0.04%,-0.88%,-7.15%,-2.36%,4.36%,17.92%,76.17%
000043,嘉实美国成长股票人民币,QDII,张自力,2.3143,2.268,2.268,2.04%,7.34%,3.80%,6.08%,19.12%,44.09%,126.80%
000044,嘉实美国成长股票美元现汇,QDII,张自力,1.9796,1.94,1.94,2.04%,6.59%,2.11%,4.70%,15.20%,38.08%,94.00%
000045,工银产业债债券A,债券型,何秀红,1.4878,1.487,1.638,0.06%,-0.40%,0.00%,3.19%,7.44%,21.29%,66.97%
000046,工银产业债债券B,债券型,何秀红,1.4544,1.454,1.594,0.03%,-0.41%,-0.07%,3.05%,7.07%,20.07%,62.17%
000047,华夏双债债券A,债券型,柳万军,1.3928,1.393,1.613,-0.01%,-1.69%,-2.25%,8.83%,14.18%,22.84%,67.16%
000048,华夏双债债券C,债券型,柳万军,1.371,1.37,1.585,0.07%,-1.72%,-2.35%,8.64%,13.79%,21.89%,63.91%
000049,中银标普全球资源等权重指数,QDII-指数,陈学林,1.0028,0.996,0.996,0.68%,8.85%,-6.65%,-10.83%,-1.78%,-0.30%,-0.40%
000051,华夏沪深300ETF联接A,联接基金,张弘弢,1.2964,1.2906,1.2906,0.45%,0.75%,-5.52%,-0.65%,7.46%,15.54%,29.06%
000053,鹏华永诚一年定开债券,定开债券,刘涛,1.0301,1.0299,1.6014,0.02%,-0.10%,0.91%,2.45%,5.91%,19.23%,60.90%
